Review,Class
me parecio muy simple y limitado en su oferta de productos  no se veia limpio lo que ahi se veia se encuentra en cualquier parte del pais ,3
un hotel agradable con una buena ubicacion para recorrer el centro historico de puebla sin tener que usar el vehiculo  le hace falta un servicio de cafe de cortesia y la alberca es muy peque a  pero nos funciono muy bien para conocer algunos museos  iglesias y sitios de interes sin tener que hacer uso del vehiculo ,4
esta bueno para visitar la iglesia perooo lo que vale mucho la pena son los restaurantes con la vista  me falto probar la comida pero simplemente la vista vale la pena es un mirador natural y hay varias cosas para pasar la ma ana es necesario llevar algo para el frio  incluso junta a la taquilla hay vendedores de bufandas y gorritos  los necesitara    ,4
hotel melia habana es un hotel muy lujoso  las habitaciones son espaciosas y estan bien amuebladas con un comodo ba o  la piscina esta muy bien y tiene un bar en la piscina  hay un monton de tumbonas en el sol o en la sombra  el desayuno tiene una amplia variedad de elegantes opciones  es una lastima para un hotel que la mayoria del personal es arrogante y muestran poco interes por sus huespedes  solo los hombres del mantenimiento y las se oras de la limpieza era muy amable  llegamos al hotel despues de un largo viaje  queriamos tomar un ba o y cambiar nuestra ropa  pero despues flotan media hora nuestro equipaje no habia traido a nuestra habitacion y todavia estaba en el vestibulo del hotel en el tranvia  fui hasta el conserje y le pregunto si el equipaje podria ser llevados a ,3
primeramente me encanto el servicio  el personal esta realmente capacitado  me hospede en las habitaciones mas nuevas del hotel  pero el area de caba as tiene una vista espectacular hacia el popocateptl  tiene lugares realmente relajantes  el area donde sirven el desayuno es muy agradable  puede ser un hotel familiar y bussines class  sin dudarlo regresaria ,5
paseo del prado es una zona de paseo de la isla que lleva desde el malecon hasta casi el capitolo  te puedes imaginar se oras y se ores bien adobada  sin ensamblar paseos  por esta pasarela mostrando sus mejores armario la sombra de su sombrilla en la soleada tarde de primavera,4
el paseo es muy bonito  pasas por abajo y por arriba de avenidas  lo q mas me impresiono fue la limpieza del agua  parece una alberca  es divertido y un paseo muy lindo  no se lo pierdan   ,3
todos los dias que estuve tuve que bajar   y hasta tres veces porque no funcionan las llaves para abrir la habitacion   ademas  habia varios huespedes sin cubrebocas y no respetan el numero de personas en el elevador   no volveremos a este hotel ,2
un hotel un poco antiguo  pero que cumple muy bien con lo que promete  tiene un rico bar y piscina  ademas hay shows en las noches super buenos para pasar un buen momento  la gente del hotel es encantadora  lo que si es que el aire acondicionado suena demasiado  y diria por que hay habitaciones muy viejas  muy limpio todo  queda lejos de el centro de la ciudad eso si ,3
el hotel en su generalidad esta adecuado  limpio y habitaciones espaciosas  buen restaurante  y excelente ubicacion  a pocos minutos de la zona centro y enfrente del parque fundidora y cintermex  solo falta cuidar un poco el area de alberca ,4
estuve en este hotel hace unos dias aparte de la excelente ubicacion en el centro de la habana vieja no se lo recomiendo a nadie  las habitaciones sucias  al igual que otros espa oles comentamos que las colchas muy sucias o gastadas y las toallas con roturas u oxido como las mias daban asco  el desayuno pesimo  comprendiendo que estabamos en cuba  y hay carencias pero no pago por suciedad  como contrapartida dire que tiene una piscina que para despues de callejear no esta mal  a ese hotel no volvere,1
tienen una buena variedad en el menu  son muy rapidos para atenderte y la comida y salsas tienen muy buen sabor ,4
almorzamos alli durante la semana  no estaba muy lleno  el servicio estaba bien  la comida es regular  y mojitos fueron nada especial  teniamos un buen almuerzo  pero esperaba mas del lugar   p  s  es bastante calor dentro ,3
hay mucho olor en las habitaciones a algun producto quimico  el aire no funciona bien y hace ruido  y lo peor  encontre y mate una cucaracha en el ba o en general le falta una adecuacion a todo el hotel de forma urgente  considerando el precio de las habitaciones,3
el ambiente era muy relajado y agradable  de las cuatro platos  solo uno  la crema de sopa de alubias era muy bueno  pero los rillenos no eran muy sabroso  los camarones de coco y el mango era overfried salsa no que vinos frescos  el salmon   en la ensalada de salmon ahumado estaba muy soso mas,4
estuvimos en familia  un hermoso lugar para descansar y nada mas  sin actividades  a pesar de estar anunciadas en cartelera   shows muy pobres  comida poco variada  tardaron en resolver un tema con wifi  y hasta que no nos quejamos duramente no nos daban informacion fehaciente y adecuada  es una lastima que teniendo una infraestructura tan adecuada no la aprovechen con un buen servicio  no volveria ,3
buscando un restaurante para sentarse  nos encontramos con el recepcionista del lugar que nos convencio que se liberaria una mesa en la terraza y que el lugar era una casa de familia que hacia comida  la mesa no se libero  cuando nos trajeron la carta   mas,5
son las palabras que describen no solo de metro pero todo medellin  muy acogedora y calida ciudad  excelente transporte  clima y comida ,5
excelente restaurante  ofrece opciones a la carta o menu degustacion con una cocina de muy buen gusto y con ingredientes locales preparados con maestria  los visite con mi esposa para cenar y la experiencia fue muy placentera  desde la recepcion hasta la despedida el servicio   fue muy bueno  los tiempos bastante comodos y la visita fue hasta educativa en terminos de gastronomia  lo recomiendo ampliamente mas,5
vale la pena el mirador de ahi en fuera esta normal  subir por el funicular  vendimia  hay un hotel ahi  tambien te suben en un tour  cobran     por persona  recomiendo ir por su cuenta al pipila por el funicular sale mas barato ,3
nuestra habitacion tenia unas vistas estupendas del oceano  y que era una ventaja memorable  pero todos los demas recuerdos sera malo  los manteles sucios  pesimo desayuno  cucarachas en los muebles por el ascensor  pelo sobre la alfombra y las sabanas  indiferente a grosero personal de recepcion     y ademas el increiblemente ruidoso fiestas en la piscina por las noches de miercoles a domingo  por lo que quiero decir  en el piso     no daba a la piscina  con las ventanas cerradas y el aire acondicionado funcionando  siendo incapaces de dormir debido a la vibracion amplificada base  y por supuesto  la ma ana siguiente la piscina era sembrados con latas de cerveza y colillas de cigarrillos  nunca me alojaria aqui de nuevo ,2
mientras te hospedes   la villa del palmar flamencos que me fue la victima de un robo de nuestra suite   y ropa de mujeres de efectivo eran robaron mientras estabamos sentados junto   numeroso personal del complejo tenia acceso a la habitacion  que habia encontrado con mantenimiento  gente de mantenimiento y la limpieza chicas  lo cual es de esperar   y alguien revisar el bar de honor  yo reporte el incidente y era menos de w satisfechos la respuesta del personal del resort  si te seleccionar el complejo como tu destino de vacaciones ten cuidado con tu dinero y pertenencias personales y espero que no te victimized como yo   ,2
este sitio es una reliquia de la historia habanera quien conocio esta plaza en los a os       realmente no podia imaginar que pudiera recuperarse estaba totalmente destruido lleno de basura y escombros ha sido grandioso el esfuerzo de la oficina del historiador y del estado cubano en general para restaurar esta hermosura donde vivieron en su epoca numerosas familias importantes de la habana no dejen de visitar este sitio donde podran apreciar valores arquitectonicos unicos en cuba,4
excelente opcion para viaje familiar o de negocios  las personas que atienden tienen buena disposicion de ayudarte  el hotel a pesar de que es antiguo  esta arreglado para que sea comodo y funcional  muy buena opcion,4
muy buen servicio  yo fui a un desayuno  el cual estuvo delicioso y a un precio no excesivo  por que me obligan a poner     caracteres en esta seccion   ,3
mi marido y yo hemos estado viajando a grand velas por    a os y tener una experiencia maravillosa cada a o  el personal es simplemente increible  la instalacion muy bien cuidado  y nuevos programas para ni os son de primera categoria  mis    a os encontramos el club de ni os y club de adolescentes para ser todo lo que podrias desear  la nueva zona de club fue una gran adicion  y el personal de apoyo que son algunos de nuestros favoritos muy ,5
no nos gusto  no esta cerca de la habana vieja  por lo cual esta lejos de todo lo turistico y hay que ir en taxi hasta alla  la habitacion era normal  pero cuando abriamos la ducha se mojaba todo el ba o     el desayuno era buffet pero no era rico  si uno quiere hacer una limpieza intestinal por   dias  tomarse   vasos de jugo del desayuno   a la noche en el pasillo habia carcajadas y gritos que no dejaban dormir  llamamos a recepcion y nadie atendio  terminamos prendiendo el aire acondicionado que era super ruidoso para no escuchar a los borrachos  pedimos agua caliente en el bar  para cargar un termo y nos trataron de mandar a otro lado  al final lo llenaron de mala gana  lo unico bueno del hotel era la banda que tocaba musica cubana por la noche ,2
nada mas entrar en la habitacion nos encontramos una cucaracha grande muerta  el que este muerta habla de un problema claro de limpieza  asumo que hay cucarachas en la habana  que en el marmol del lavabo hubiera un redondel manchado de haber puesto una taza de cafe y el estado vergonzoso de limpieza de toda la tapiceria  cortinas  colchas y tela de sillas y sillones que daba asco tocar  me lleva a comprobar las almohadas quitandoles la funda  bingo  circulos amarillos de diversos tama os e intensidades de no haber sido lavadas regularmente ni esporadicamente  cuando me dispongo a llamar a recepcion para que nos cambien las almohadas  era nuestra ultima noche en la habana  de luna de miel  agotados del viaje desde los cayos y estabamos dispuestos a no dar demasiada importancia a ,1
es un ambiente ideal para pasar en familia disfrutando de una buena atencion y exquisita comida internacional y cubana ,5
hola a todos  la verdad que hacia mucho que no escribia  pero siento la necesidad de escribir   desde el mal asesoramiento de la agencia almundo a el mal servicio del hotel  contrate dos noches para despues ir a los cayos  al llegar al lobby del hotel habia dos personas a las que me presento para hacer el check in  me dijeron que espere y una le estaba mostrando en la pantalla de la computadora algo relacionado al hotel  a los    minutos me atiende otra persona para tomarme los datos  es un edificio que ocupa una manzana con    pisos  con un hall importante    ascensores  de los cuales andaban    durante el dia funcionan con ascensoristas q te llevan a alguno de los    pisos  la habitacion amplia con un ba o sin bidet  cama amplia y amoblamiento de los a os     sin ,1
al llegar a este hotel son recibidos por un personal muy amable  el vestibulo es grandioso  el check in es rapido y eficiente  mi habitacion era muy mal ventiladas  no habia agua caliente  mal gusto y en general con gran necesidad de  refrescante    el desayuno de la ma ana estaba por debajo de la media para este nivel de hotel  me fui despues de   dia para cambiar a una mejor alojamiento  la habana tiene mucho que ofrecer si te gusta la historia  arquitectura y cultura por encima de todo los cubanos son muy amables y su cocina tiene que ser descubierto ,2
me fui en mi camino a varadero  cuando llegamos dama de la recepcion me dijo que esperar unos minutos para conseguir mi habitacion          tras unos minutos  dijo el check in a las        luego me dieron la habitacion a       despues de un largo vuelo  bien  cuando llegamos a la habitacion  no a c   fui a recepcion y nos dijeron que era un problema con el aire acondicionado en todo el hotel y tomar algunas horas  de todas maneras  me dejo su hotel al dia y todavia tener el aire acondicionado no funcionaba   habitacion estaba muy caliente y sucio  colchon demasiado blandas y mantas sucias  restaurante no tiene una buena seleccion  el desayuno buffet y por la noche era incluido   no liquidos  pero demasiado caro a       una coca cola    pero buffet no era muy buena  era mas como ,2
aunque peque o  esta ubicado en el corazon de la ciudad  rodeado de restaurantes y a un costado del teatro juarez  es ideal para sentarse a descansar y sacar tu mapa de la ciudad  tambien es un buen lugar para contratar un recorrido con la estudiantina  callejoneada ,4
el    de diciembre fui a comer en compa ia de mi familia  la carne que es su platillo principal de calidad de regular a buena  pero el platillo so presentan solo  solo carne y ya  pregunte si lo acompa aban con verduras  papa asada o algo   mas,3
nos fue excelente con el servicio el personal muy amable pero las habitaciones muy viejos y sucias a mi bebe la picaron  los restaurantes muy ricos  pero le falta una buena remodelacion de habitaciones porque si nos afecto un poco ,4
linda experiencia  gran calidad humana de los guias  la comida excelente  terrible el estado de los alojamientos  con mi hija llevamos cuatro dias con picaduras de chinches y al parecer los trajimos a bogota  costo   beneficio no vale la pena  los gatos y perros de los alojamientos los tienen en condiciones lamentables ,5
largas filas para entrar  tickets caros  cobran por las camaras fotograficas no profesionales y realmente no vale la pena ni el tiempo ni el precio de acceso ,2
el staff es super simpatico  la comida es buena  las habitaciones son muy agradables y la ubicacion muy agradable por la playa donde se puede caminar a gusto  las albercas son variadas y amplias  no te pierdas un masaje en el spa  son de ensue o ,5
viaje con mi familia  los animales estan bien cuidados y muy padre solo que realmente no tienen cuidados de covid  no tienen el control ni aforo maximo de las personas que acceden al parque ni a la zona de comidas ni tiendas  el recorrido en vehiculo lo haces a vuelta de rueda por tanta gente que hay  y tardas hasta   o   horas en dar el recorrido  las personas no guardan la distancia y no hay personal al cuidado de esos detalles  ,5
nos fuimos a la fortaleza en la noche para ver la ceremonia de canon  era lo unico en cuba  que comenzo a tiempo  tienes que llegar temprano para conseguir un buen espacio para ver la ceremonia estuvo interesante  ish   pero bastante prolongarse para disparar una canon  era gratis ,4
he probado el cabrito en  otros restaurantes y me gusta mas su sabor y su presentacion creo que ya no es lo mismo que antes   no se si estaba muy grande el chivo o ke quien sabe pero no me gusto prefiero ir a otro   mas,3
la vista maravillosa desde el hotel  los barcos  el paseo en yate estuvo genial  sobre todo por la noche las luces se ven increibles y caminar a la orilla ya sea de noche o dia a cualquier hora es un puerto hermoso ,5
la verdad esta muy bien dise ado  es muy agradable a la vista y los guias de las lanchas muy simpaticos  el precio me parece razonable para la distancia que se recorre,4
me he alojado en unos cuantos todo incluido en mexico pero habia oido como increible grand velas era asi que era muy ansiosos de mi estancia alli  habiendo dicho eso  no era wow ed  el complejo real  el vestibulo y la zona de la piscina estan muy bien  pero yo estaba un poco decepcionado con la comida en los restaurantes de especialidades  como me esperaba una muy alta calidad similar a un hotel de ep debido a los precios muy altos  dijo que el mini bar completamente de stock incluyendo pica como patatas fritas  frutos secos y chocolate era un bonito detalle     mi mayor problema con el hotel era el servicio  durante todo el tiempo que estuve alli  el acceso a internet inalambrico no estaba funcionando  tienes que pagar    dolares por dia para el internet  y no funcionaba  llame a recepcion y me prometieron que tener a alguien que mirar y pedimos para mi estancia en mi habitacion y esperar    horas mas tarde y nadie aparecio  llame de nuevo  se disculparon y me dijeron que esperar otra vez hice lo que yo estaba de viaje de negocios y necesitabamos hacer correos electronicos de trabajo  otra hora pasado y nadie aparecio  finalmente me bajo al centro de negocios me dijeron que alguien me llamaron para solucionar una vez mas nadie  pedi un gerente de seguimiento conmigo y nadie  finalmente esa noche fui a hablar con el director y el ni siquiera hablan ingles  asi que los botones debia traducir  no estoy tratando de sonar arrogantes  pero en un hotel de cinco estrellas y lugar como mexico donde usted tendra una gran cantidad de norte americanos alojandonos  necesitas tener un gerente quien puede hablar ingles     pregunte por el gerente de la ma ana  a quienes no hablan ingles  de seguimiento conmigo antes de hacer el registro de salida al dia siguiente  pero por supuesto no llamado  en el registro en su resolucion ofrecen era que no me cobraron por mi conexion    por supuesto que es mejor no me cobraron  no reciben internet todo el tiempo que pase alli    que no es una resolucion  muy decepcionante    ,2
nos hospedamos en este hotel  el pasado diciembre  llegamos a la habana sabiendo q los hoteles del lugar no eran muy buenos  asique fuimos preparadas  el hotel en gral no esta tan mal  tiene ascensor  wifi pago  el dia q llegamos no habia agua caliente pero con amabilidad al dia siguiente nos dejaron elegir otra habitacion q tuviera agua caliente  en gral el personal es amables  siempre y cuando les dejes propina  en toda la habana ocurre lo mismo   la ubicacion es muy buena  queda cerca del malecon y unas    cuadras a pie de la habana vieja,3
actividades entretenidas y originales   las albercas excelentes y limpias  comida rica y ambiente familiar  vista al mar preciosa y servicio excelente  lo recomiendo mucho  vengan a visitar este hotel  pasas excelentes vacaciones y la gente es super amable  todos son super atentos sobre todo los chicos de las actividades  candela  carlos  miguel  gilberto  jorge y adilene               ,5
perfecto lugar para cenar romanticamente la primer noche el la habana      el chef es el due o del lugar   el plato a elegir es la langosta hemingway     alucinante      recomendable y buen precio ,4
coleccion muy bien presentada y se rellenan maravillosa  fascinante  el personal es muy servicial  no se puede perder  vale la pena comprar el libro guia muy detallada  que tienen en ingles  una muy buena experiencia y aprendizaje aesthatic ,5
como todo en cuba  se nota falta de muchas cosas  mantenimiento en los ascensores  cmida de escasa calidad por tratarse de lo que dicen un hotel de cuatro estrellas  las habitaciones confortables  igual que los ba os  desde los pisos altos la vista es buena  sobre todo por el cercano mar y los edificios de la embajada de rusia  bastante cerca ,3
me parece que este tipo de restaurante ya se ve un poco pasado  el servicio es regular  los precios son caros y la decoracion es pesima  para una animalista me parece que exhibir a los animales  cazados  es de muy mal gusto sumandole las luces de   mas,2
excelentemente bien buena calidad del personal  atenciom rapida y eficiente  habitaciones acojedoras y muy comodas clima agradable  estancia confortable y tanto la cama como el sofa muy comodos para descansar,4
visita obligada por ser el unico monumento colombiano reconocido por la unesco como patrimonio de la humanidad  una hora de visita es mas que suficiente,5
es un lugar agradable con lo indispensable para pasar un fin de semana nosotros nos hospedamos ahi para asistir a una boda en la ciudad  y el personal que labora ahi es muy cortez y eficiente desde los asistentes del estacionamiento y los recepcionistas  la habitacion comoda en el piso de socios fiesta rewards  gracias a sergio muy accesible y atento  ,4
los domingos es gratis  excelente museo  me parece increible el oro  y la coleccion de piezas originales esta impresionante  lo mejor esta en el  er piso  ,5
bar moderno que de alguna manera todavia parecia estar lleno de historia  el servicio y la comida era buena y cocteles bueno,4
excelente ubicacion  especialmente si estas frente a la plaza  puedes ver a los loros salvajes entrar y salir  la ubicacion es excelente para todos los puntos que desee visitar en monterrey y sus alrededores  es mexico  espero cierta dosis de indiferencia y abandono  los acepto como parte de viajar a mexico  el servicio en este hotel es horrible  pide mas de   toallas en una habitacion de   camas  espera   horas  pide una cobija  las habitaciones no vienen con cobijas   espera hasta el dia siguiente  pide una llave de habitacion extra  no  el personal de recepcion es grosero  lento y no puede ayudar de ninguna manera  excepto en el registro y la salida  quiere informacion sobre una funcion de hotel  preparese para preguntar a       personas y correr en circulos  el conserje x     ,5
un lugar emblematico en la habana  exquisitos tragos a base de su caracteristico ron  si visitas la habana   no te lo podes perder,5
es muy agradable  la vista es maravillosa  no probe la comida  pero las bebidas no son buenas pedi una margarita y me dieron una margarita frozen es decir algo semejante a un sorbete de limon muy dulce sin sabor a tequila ,3
un lugar muy limpio ordenado hermoso con areas amplias que vale la pena disfrutar en familia un momento  primera vez que lo visito pero vale la pena acudir ,4
divino espectaculo  para no perderslo  nada que ver con el tropicana que es caro porque hablamos cenado antes y te sale     dolares por persona con el show incluido y no es buena la comida  en cambio aca todo era espectacular  tanto fue asi que   mas,3
cuesta   cuc  nosotros llegamos en un barquito que cruza la bahia  pero hay que caminar como     mts para llegar  es algo diferente porque pasamos a un costado de la casa del che y del cristo  lo que nos entretuvo a mitad del camino  si pagas un adicional de   cuc puedes estar en la azotea y ver mejor  te dan una bebida por este pago extra  vale la pena pero solo por conocer un poco mas  no me parecio nada extraordinario  ,3
tome un paseo por la orilla del mar  podra ver la fortaleza  viendo los coches clasicos  gran ejercicio  una experiencia agradable,5
lugar precioso para ver atardecer y conocer la ciudad desde la otra orilla hay unos impresionantes acantilados y fosas tambien hay ca ones y pasadizos ademas de la fortaleza en si con su faro muy recomendable ,5
fuimos por las opiniones que leimos  que eran muy buenas   y no defraudo  atencion genial   comimos muy bien  buena relacion calidad precio  no es barato pero el precio es correcto a la calidad   nada que no pagarias en espa a  pero con ese puntito cubano     muy   mas,3
no puedes  perderte  la  visita al museo   un paseo  por el  tiempo recorriendo la evolucion de la humanidad ,5
el hotel en general es lindo y muy acogedor  sin embargo  esta vez comentare aquellas cosas que no agradaron mi estadia  el check in es a las   de la tarde  una vez que esperamos poder entrar a nuestras habitaciones  sucedio que la nuestra estaba con un hedor insoportable a humedad motivo por el cual reclamamos y pedimos otra habitacion  al principio nos dijeron que no contaban con otra pero luego de seguir discutiendo y exigir el cambio nos la dieron  el servicio de despertador no funciono el primer dia  telefonee la noche anterior para solicitar el servicio  sin embargo  en la ma ana nadie llamo  nos levantamos atrasados y no tuvimos la oportunidad de desayunar antes de salir a nuestro tour   almorzamos en el restaurante italiano  la comida deliciosa y el personal muy amable ,2
el restaurante es en su mayoria muy bien porque es contemporaneo  con un ambiente agradable y un servicio profesional  la comida es buena  pero no tiene nada de especial  puedes conseguir igual de buena comida en otro lugar  lo que es bueno acerca de este   restaurante es el hecho de que es un poco mas turistica amable y profesional mas,4
deberian quitar los puestitos que pone  de juguetitos chinos  hay mucha gente  es hermoso lleno de arboles y muchos cafecitos al rededor  para descansar contemplando todo ,5
  una turistada    todos a los que preguntas en la habana  te lo recomiendan y no tiene calidad ninguna  mucha gente interesada en que acudas pero porque llevan comision  o eso parece  de hecho  mis dos hijos pillaron diarrea  las camareras muy monas y atentas y   mas,3
de paseo por cuba con amigos  un taxi nos llevo alli y quedamos sorprendidos por lo distinto entre lo que se ve de afuera y lo que hay dentro  un restaurante agradable con buena comida tipica y un servicio rapido y eficiente   aunque el   mas,4
este es un hotel con mucha historia y gran infraestructura  si bien tiene excelentes instalaciones  con habitaciones amplias y confortables  se puede observar en los pasillos u otros sitios comunes el desgaste sufrido por el paso del tiempo  de todos modos creo que es una excelente opcion para dormir en la habana  dispone de una oferta gastronomica muy buena  con un desayuno excepcional tipo buffet y varios restaurantes  el del piso superior es de alta calidad  si vuelvo a esta hermosa ciudad  me volveria a alojar aqui ,5
el comodore fallo para impresionar a nosotros debido a razones siguientes  esta mal conservado y no muy limpio   las cortinas estaban bastante sucios   los colchones estan muy gastadas y las instalaciones del hotel tales como piscina y la playa no son satisfactorios  hay un aroma en la planta baja unidades bungalows  el personal es amable  los restaurantes del hotel son le faltaba imaginacion y mas importante variedad   dado el estado cubano es mejor que muchos otros lugares  abre para el desayuno de buffet es aceptable  el hotel esta bastante lejos del centro  un taxi cobra    dolares por viaje al centro de la ciudad ,3
descampado en mitad de la nada teoricamente muy turistico  pero no tiene ningun tipo de interes  excepto   relieves de historicos revolucionarios  che guevara y camilo cienfuegos  completamente prescindible en la visita a la habana ,3
bueno mayo del      en restauracion y lei por ahi por dos a os mas    es una replica del capitolio yanqui solo que tiene    metros mas alto esta bueno igual pasar por ahi y ver tambien el teatro nacional de cuba tambien en restauracion lo lindo que va a estar todo dentro de unos a os como me gusraria volver,5
buenas habitaciones muy espaciosas y con buenas instalaciones   pesimo que se escucha la musica de afuera  imposible dormir     solo dan una llave por cuarto  no mas    muy amable el personal pero lastima lo demas  para no volver ,3
caballo el metro tren una experiencia sin embargo el metrocable fue lo mas destacado  al ser una forma primaria de transporte para las masas para obtener acceso a las muchas casas situadas en los bordes de la medellin valle tambien es una visita obligada para los turistas  por     centavos  estados unidos  puede disfrutar bastante emocionantes paseos por los lados del valle y disfrutar de las vistas ,4
pesimo servicio  no te dejan ni acabar el plato que ya te lo quieren retirar   pesima comida  comimos ropa vieja y no valia para nada   pagamos por   platos de ropa vieja    cervezas y un cafe    cucs ,1
tuvimos dos comidas aqui  estaba muy bien organizado  con lo que parecia ser un maitre d  a la planta para asegurar el lugar siempre ordenado y el servicio era a alta velocidad  grandes porciones de comida  avacado con comida de mar especialmente bueno  y personal   que parecia interesado en sus clientes  no siempre es dada en la habana mas,4
